Chinese,French
大腿,la cuisse
进口,importer
从业者,praticien
发行商,éditeur
粉色的,rose
溪,ruisseau
刀刀,des couteaux
产品,produit
雕刻,tailler
法令,loi
n,plus gentil
遗弃,abandonné
孙子孙女,petits enfants
真空,vide
雨雨,pluvieux
多才多艺的,polyvalent
庞大,colossal
麻烦,difficulté
家庭,famille
自己,se
周一,Lundi
房间,pièce
意义,sens
宽度,largeur
系,boucler
网格,la grille
脚步,pas
避免,refrain
移动,suppression
之间,entre
镀金,dorer
喘息,répit
骚扰,harceler
交换,échanger
j,Jongler
联邦,fédéral
上帝,Dieu
发明,inventer
即时,immédiat
顾问,conseiller
夫妻,coupler
abr,brusque
肾上腺素,adrénaline
瓮,urne
tr,vraiment
呼吸,respirer
木头,bois
接受者,destinataire
壁球,écraser
意识,la conscience
脾,rate
确认,identifier
执行,exécution
涂,griffonner
扇贝,coquille
完全,entièrement
显着地,significativement
诀窍,truc
吹风丝,fulminer
祝福,bénignité
无线的,sans fil
村庄,village
菜单,menu
漫步,errer
腔,cavité
毕业,gradué
包住,enfermer
沿海,côte
强大的,puissant
亲爱的,cher
最终的,ultime
一顿饭,repas
金丝雀,canari
刺,crevaison
漫画,bande dessinée
喜怒无常,de mauvaise humeur
羞辱,endetté
分类,classifié
夸张,vantard
保险杠,pare-chocs
海报,affiche
嗅闻,renifler
针,aiguille
皇帝,empereur
糊状物,purée
别诡计,ultérieur
如今,de nos jours
洗礼,Baptême
冲突,conflit
可导航的,navigable
正义,vertueux
华丽的,magnifique
泡泡,pétillant
不寒而栗,frémir
乏味的,terne
渐渐,graduel
开玩笑,blague
案件,Cas
麦片,gruau
agr,agraire
庆祝活动,festivité
乞丐,misérable
螺栓,verrouiller
均衡,équilibré
小小的,bouleversé
平等,égalité
薯条,frites
咀嚼,mastication
石板,ardoise
灯罩,ombre de la lampe
犹豫,hésiter
大蒜,Ail
正午,midi
改进,amélioration
到期,expirer
市郊,banlieue
频率,la fréquence
p,dorloter
欲望,désir
说服,convaincre
味道,saveur
冲床,coup de poing
自由,liberté
完全地,complètement
底部,bas
精英,élite
宽恕,pardonné
unh,malheureux
混乱,désordre
异教徒,païen
par,par
世仇,querelle
主教,évêque
痒痒,chatouiller
菱形,losange
否认,le déni
收费,mise en charge
稀释,dilution
不敏感,insensible
维护,maintenance
独角兽,Licorne
允许,autorisation
h,cabane
违,désobéir
假的,factice
避孕药,contraceptif
种类,variété
平静,calme
省,Province
悲哀,tristesse
社交上,socialement
可爱,adorable
存活,survivre
课堂,salle de cours
混合,mélanger
肉,Viande
行李,bagage
如画,pittoresque
事件,incident
累积,accumuler
妈,maman
预防,la prévention
生日,date d'anniversaire
秘书,secrétaire
边境,frontière
摇晃,pendre
wis,sage
荒芜,Dénudé
太平间,morgue
信贷,crédulité
牺牲,sacrifice
国籍,nationalité
水果,fruit
可耻,honteux
构想,concevoir
修道院,une abbaye
凿,ciseau
决定,déterminer
航程,voyage
蜜月,voyage de noces
可口,délicieux
任务,tâche
敷料,pansement
奇观,genre
流产,Avortement
任何,quoi que ce soit
夸,se vanter
捐款,don
意味着,impliquer
多数,majorité
手套,mitaine
辅导,cosign
妄想,délirant
盐,sel
无神论,athéisme
预测,prédire
漫步,flâner
向上,en haut
模子,mouler
高手,as
裹,envelopper
遗产,héritage
每个人,toutes les personnes
耻辱,la honte
部分,proportion
驰骋,galop
衬套,Buisson
亲,chère
困,assainir
厘米,centimètre
皮疹,éruption
随后,ensuite
区别,différence
堡,fort
污染,contaminer
副,adjoint
薰衣草,lavande
愚蠢,stupidité
吹,coup
评论,commenter
关节,articulation
神经质,névrosé
品种,élever
抚摸,caresse
展示,affichage
管理,administrer
蛤,palourde
编辑,Éditer
生产,production
mort,mortifier
预困境,préoccuper
最小,minimal
无法,incapable
资金,fonds
认为,considérer
确认,vérification
图表,diagramme
神秘,mystique
延长,prolonger
吊床,hamac
接收者,destinataire
忍受,supporter
自在,confortable
只是,seulement
外交,diplomatique
奠定,posé
流星,météore
野蛮的,sauvage
阐明,articuler
房子,loger
叹,soupir
超级英雄,super-héros
花生,cacahuète
最强的,plus fort
限制,limite
父母,parent
坍塌,effondrer
机构,institution
cl,employé de bureau
任何,celui qui
物品,Objet
haw,aubépine
宽容,indulgent
皮革,cuir
石榴,Grenade
呼吸,respiration
宗教,religieux
踏板,pédale
间谍,espionner
经销商,Marchand
危机,crise
气味,odeur
有顺序地,ordonné
果冻,gelée
土地,terre
松树,pin
王冠,couronner
松开,desserrer
磁盘,disque
溪,ruisseau
沮丧,frustrant
摆脱,débarrasser
爱好者,être ami
鬃毛,crinière
巴特勒,majordome
享受,jouissance
围城,siège
连词,conjonction
fool,infaillible
家乡,ville natale
冰山,iceberg
称重,peser
pros,avantages
游荡,Flâner
低估,sous-estimer
放松,se détendre
完全,tout à fait
标语牌,placard
荒野,région sauvage
Abattoir.,abattoir
拳击,boxe
普通的,ordinaire
饿死,affamer
说,parlé
耶稣,Jésus
证人,témoin
配饰,accessoire
齿,dent
T恤,T-shirt
黏,collant
道路,manière
座舱,cockpit
蠢事,folie
重力,la gravité
厚的,épais
屠夫,Boucher
邪恶,vil
饭店,le dîner
抒情,lyrique
可敬,respectable
试镜,audition
灰烬,cendré
部分地点,partiellement
优胜者,gagnant
扣篮,tremper
火花,étincelle
网球,tennis
认出,reconnaître
蔫,indifférent
专辑,album
位置,position
分数,fraction
升降,monter
惠顾,patronage
最近的,le plus proche
玉,jade
弹药,munition
酿造,brasser
简单地,simplement
b,mordu
手套,gant
蜥蜴,lézard
遇见,rencontrer
人类,humanité
亲爱的,priver
绅士,gentleman
蹩脚,merdique
Maestro,maestro
最后,par conséquent
显示,montré
居住,résider
两次,à deux reprises
数字,chiffre
军旗,insigne
尾巴,queue
当然,bien sûr
老虎,tigre
荣誉,honneurs
银行家,banquier
广告牌,panneau d'affichage
烹饪,culinaire
虚张声势,bluffer
传播,diffusion
踏,bande de roulement
私下,en privé
遗传,héréditaire
环境,circonstancié
紫色的,violet
f,fervent
样本,échantillon
三倍,tripler
辞职,démissionner
花瓶,vase
侮辱,insulter
下降,descendre
荣誉,honneur
补品,Tonique
小牛,veau
更新,mettre à jour
副词,adverbe
盒,pack
鱼子,chevreuil
仪式,rite
断路器,briseur
假装,faire semblant
位于,situé
过量的,excès
关系,relation amoureuse
丈夫,mari
轮询,vote
市中心,centre ville
感性,sensuel
卡洛伊,calory
密码,chiffrer
墓,tombeau
讨厌,mépriser
说,en disant
偶尔,parfois
快乐,joyeux
电子邮件,e-mail
锥体,cône
仿真,imiter
降级,rétrograder
讽刺,ironique
甘蔗,canne
流行音乐,pop
必要性,nécessité
先生,Monsieur
收入,le revenu
忧郁,renfrogné
短裤,shorts
小伙子,garçon
扩散,diffuser
零售,vendre au détail
粥,gruau
差距,écart
模仿,imiter
喜欢,Comme
测验,quiz
春天,printemps
p,ping
闻,sentir
背叛,abandonner
灾区,sinistré
浴缸,baignoire
洪水,inondation
贸易,Commerce
极端,extrême
嘈杂,bruyant
涂鸦,griffonnage
獭,loutre
熏肉,Bacon
征收,prélèvement
豹,léopard
排除,exclure
毛茸茸,hirsute
嘲讽,déranger
上衣,crispé
有人,n'importe qui
脸,visage
窥视,piaulement
感觉,sens
扳机,gâchette
荒诞,absurde
雇主,employeur
法官,juge
一张,déplacement
当心,Attention
孵化,éclore
重复,répéter
ado.,ado
书呆子,rat de bibliothèque
遗憾,de regret
首饰,bijoux
愚昧,ignorant
凭据,certificat
bl,vacarme
便利,pratique
销售,vendre
没有,sans pour autant
拆除,démonter
虚幻,illusoire
玻璃,un verre
重建,reconstruire
绝不,jamais
窝棚,cabane
经过,s'écouler
奢华,somptuosité
垃圾,déchets
寡妇,veuve
手提箱,valise
食用,comestible
善意,la bonté
所有权,la possession
每天,tous les jours
无用,inutile
美妙地,magnifiquement
代表,déléguer
叔叔,oncle
新闻,journalisme
侧,latéral
栏,obstacle
乐趣,amusant
很多,parcelle
最大,plus grand
摇摆,se balancer
大约,approximativement
类型,taper
投标,tendre
稳定的,constant
蛇,serpent
嘲讽,raillerie
投资,investissement
消化,digestion
并发症,complication
ev,expulser
爱,amour
指甲,ongle de main
医生,médecin
惊叹,exclamer
饵,leurre
莳萝,aneth
吞食,dévorer
亲爱的,chérie
橡胶,caoutchouc
散游,absolution
散文,prose
摩天大楼,gratte-ciel
睦邻,de bon voisinage
恶魔,démoniaque
损坏的,endommagé
风格,style
配件,raccord
大惊小怪,s'agiter
菲伯,menteur
荷兰人,néerlandais
护士,infirmière
畏缩,abberance
投票,voter
周六,samedi
发痒,qui démange
运输,transport
可怜,misérable
str,frappé
咳嗽,la toux
向往,aspirer
牙膏,dentifrice
同意,se mettre d'accord
饼干,biscuit
古老的,ancien
光谱,spectre
玩,jouer
潜,latent
漏洞,imperturbable
时钟,l'horloge
候选人,candidat
不败之地,invincible
穿,portait
设备,dispositif
诱惑,tenter
盯,regard
开脱,absoudre
院长,doyen
st,a volé
消息,nouvelles
压制,réprimer
茄子,aubergine
极好的,incroyable
撕碎,déchiqueter
鞋,chaussure
文章,article
同时,simultané
inane.,inepte
开导,éclairer
忧郁,bouder
安全的,en sécurité
臭虫,infâme
战略,stratégique
汽车旅馆,motel
了不起,terrifiant
l,lardy
占地,surenchérir
三色堇,pensée
撤消,défait
交易,accord
蛋黄酱,Mayonnaise
说谎,mentir
平庸,médiocre
太阳镜,des lunettes de soleil
人行道,trottoir
飞机场,aéroport
抹去,effacer
闷烧,couver
抢占,s'emparer de
外国的,étranger
很少,quelque
卸下,décharger
技能的,qualifié
支配,dominer
母亲,maternité
br,fauché
紧急情况,urgence
in,inoculer
贫穷的,pauvres
专业的,professionnel
剪刀,les ciseaux
成功,réussir
预兆,présage
欣喜若狂,en extase
药品,médicament
古典,classique
台球,billard
铲,pelle
尽管,bien que
AIL.,de toute façon
读者,lecteur
笨重,lourd
实习生,interne
钻石,diamant
逃跑,fuyez
同意,assentiment
金的,doré
封建,féodal
疯狂,rancunier
Abattoir.,abattoir
正式,officiellement
迅速,rapidement
可怕,craintif
虐待,abuser de
脚,pieds
做傻事,truquer
二十,vingt
等级,niveau
日出,lever du soleil
尊重,le respect
麻痹,paralysie
当代的,contemporain
幼儿园,Jardin d'enfants
苹果,Pomme
眉头,front
英勇,héroïque
诊断,diagnostiquer
眼睛,œil
预先,préalablement
纱布,gaze
促进,favoriser
主持,présider
棒球,base-ball
猫,chat
松饼,muffin
装备,équipé
宗教,religion
缺席,absence
摩羯座,Capricorne
黑暗,obscurité
鲱鱼,hareng
女服务员,serveuse
渴望,mélancolique
棋,échecs
面条,facette
放荡,débaucher
殖民地,colonie
玫瑰花蕾,rosebud
移民,émigrant
数学,math
可能,peut
钱包,Bourse
签证,visa
梳子,peigne
gl,maussade
漏斗,entonnoir
真相,vérité
阻碍,entraver
整洁的,soigné
运输,transporter
到达,arrivée
得罪,offenser
加强,renforcer
heart,chaleureusement
毛衣,pull
不羁,indiscipliné
缸,cruche
金发金,aigreur
常规,routine
吊丧,exprimer ses condoléances
可怕,terrifiant
盔甲,armure
吃,mangé
水手,marin
轴承,palier
歌手,chanteur
邻里,quartier
活检,biopsie
不幸的,malheureux
可悲的是,Malheureusement
可怕,affreux
角落,coin
公告,annonce
累积奖金,cagnotte
谚语,proverbe
康复,guérison
无论,qu'il s'agisse
指尖,bout du doigt
清新,rafraîchir
有意义的,significative
事情,question
喋喋不休,bavard
易受影响的,sensible
酸橙,chaux
移民,immigrant
问候,salutation
喧嚣,bruyant
会议,session
第三,troisième
扑,battement
隔离,isoler
不变的,inchangé
兼容的,compatible
合理的,rationnellement
疲惫不堪,épuisant
转变,convertir
穷人,nécessiteux
流走,égoutter
西,occidental
转变,transformer
avail,profiter
立即的,instant
最亮的,brillant
裂口,fendu
使用权,accès
分号,semi-colonie
女性,femmes
咖喱,curry
翅膀,aile
鬼,fantôme
经典的,classique
不等,inégal
柔性,fléchir
想象力,imaginable
强奸,râpé
竞赛,concurrence
请享用,prendre plaisir
卷,rouler
担心,inquiétant
杏,abricot
报复,vindicatif
全能,tout-puissant
水分,humidité
事故,accident
询问,demande
对应,correspondre
低贱的生活,LowLife
无声,silencieux
丢失的,disparu
丁,dingue
招募,enrôler
柠檬树,tilleul
Zigzag.,zigzag
地下,sous la terre
跳闸,déshabiller
激励,motiver
感兴趣的,intéressé
婴儿床,crèche
本身,lui-même
胡扯,balivernes
身体上,physiquement
古迹,pittoresque
持续的,en cours
管闲事,curieux
毯子,couverture
裙子,robe
天启,apocalypse
洗手间,toilette
螺柱,étalon
格伦,glen
患病的,malade
en,enchanter
拆开,détaché
混合,mutisme
堡垒,forteresse
医疗的,médical
类别,Catégorie
梦见,rêvé
相互影响,interagir
沿着,aux côtés de
真正,véritablement
比目鱼,patauger
今天,aujourd'hui
箔,clinquant
授予,conférer
图书管理员,bibliothécaire
膀胱,vessie
人造的,artificiel
刀,couteau
议程,ordre du jour
执行,imposer
火化,incinérer
招聘,embauche
乌贼,calamar
羊毛,laine
乐意,volontier
克莱特,clément
不可避免地,inévitablement
精心制作的,élaborer
支付,Paiement
小提琴,violon
结合,combiner
饲料,fourrage
诱惑,tentation
爬,monter
线索,indice
广告,afficher
天空,ciel
应付,se débrouiller
捡起,Récupérer
鞋子,chaussure
王子,prince
不公正,injuste
折磨,tourmenter
教,enseigner
超人,Superman
打,douzaine
奖,prix
敌对.,hostile
祖先,ancêtre
美味的,délicieux
绒布,flanelle
易燃,combustible
分子,molécule
认出,reconnaissance
景观,spectacle
po,poignant
注意力,attention
袖珍的,compact
一般,normalement
拱顶,sauter
黑醋栗,cassis
丘比特,Cupidon
漆,laque
爆破,détruire
黄昏,crépuscule
妻子,épouse
想要,fantaisie
比喻,analogie
云,nuage
以上,dessus
兽,bête
卡布奇诺,cappuccino
讽刺,satire
措施,mesure
咕哝,marmonner
骑兵,cavalerie
广泛,répandu
笨拙,maladresse
中年,âge moyen
粉笔,craie
升起,en hausse
公克,gramme
绝望,désespéré
彻底,à fond
啤酒,ale
无可救药,inexorable
舞厅,salle de bal
使徒,apôtre
顽固,têtu
颜色,Couleur
忧郁,mélancolie
有,ont
借方,débit
继承人,héritière
腰带,ceinture
令人惊叹的,superbe
每,par
抓住,accrochage
不可原谅,impardonnable
树液,sève
浪漫,sans effoir
口渴,la soif
车站,gare
泥炭,tourbe
贫民窟,taudis
并置,juxtaposition
保姆,Baby-sitting
几乎,presque
柏,cyprès
狂怒,furieux
毛茸茸,velu
鼓,tambouriner
进步,avancement
下马,démonter
挫折,revers
生活,la vie
检察官,procureur
立即地,immédiatement
修理,réparation
常见的,commun
眼力,vue
assholade.,accolade
参与,participation
辞职,démission
鳄鱼,crocodile
慵懒,languissant
确保,assurer
ab,diminuer
不耐烦,impatient
方程,équation
前灯,phare
邮资,affranchissement
傲慢,hautain
大声,bluffant
蜘蛛,vieille fille
有用,utile
花费,dépenser
血腥,sanglant
百,cent
画,dessiner
袖口,manchette
极好的,super
欺凌,harcèlement
闲话,potins
发呆,hébéter
微弱,faible
承认,admettre
展示,présent
空白,annuler
单元,unité
head,capiteux
眉,sourcil
憎恶,horreur
清楚的,plaine
方式,manière
成熟,mûr
手工业,artisanat
保证,assurer
狗,chien
性格,personnalité
查看,Chèque
辨别,discerner
主,Seigneur
暂停,pause
投入的,dédié
友好的,amical
融化,fusion
扩大,élargir
神秘,mystique
可信度,crédibilité
手术,opératoire
愈合,soigner
毁灭,détruire
赎回,racheter
派生,dériver
粗糙的,rugueux
激烈的,intense
抹布,chiffon
武装,armé
失业,sans emploi
射击,cuisson
代替,remplacer
为什么,Pourquoi
复杂的,sophistiqué
关于,concernant
第二,seconde
乌鸦,ravin
赛跑者,coureur
牧师,le clergé
隔离,isoler
箱,Caisse
评估,évaluation
作证,témoigner
夸大,exagérer
青少年,adolescent
猪,cochon
歇斯底里,hystérie
趋势,tendance
记忆,mémoriser
模式,mode
兴奋的,excité
逻辑,logique
争取,discutable
拇指,pouce
符合,accord
缺口,pseudo
解压缩,déballer
污染,polluer
削减,rogner
拍卖,enchères
拥抱,envelopper
沙,sable
雏菊,Marguerite
贫民区,ghetto
刮胡子,raser
非常,terriblement
吸虫,patte
责备,reproche
俗语,familier
疯狂,folie
海狸,castor
肌腱,tendon
土耳其人,Turc
生存,survie
准确性,précision
完美的,parfait
优越的,supérieur
救护车,ambulance
客人,invité
效力,puissance
清除,autorisation
纯粹,purement
窃听,écœurant
编,tresser
携带,transporter
勾引,séduire
仇恨,haine
pl,plie
机会,opportunité
驯服,apprivoiser
扁平,aplatir
菜肴,cuisine
巫婆,sorcière
精神的,mental
标签,étiqueter
短缺,pénurie
情绪化,émotionnellement
pl,souple
谨慎,prudent
助长,une mise
抓住,attrapé
住房,logement
神经,nerf
亲切地,gentiment
等等。,etc.
海岸线,littoral
保证,engagement
小马,poney
卖,vendre
治疗,thérapie
魔法,la magie
利润,marge
尊严,honorer
微妙的,subtil
逃脱,échapper
性别歧视症,sexiste
训练,entraînement
权威,autorité
畏缩,recul
表达,expression
作者,auteur
重大的,substantiel
团结,se rallier
能够身体,Corsé
报春花,primevère
养老金,Pension
哺乳,allaitement maternel
年鉴,annuaire
赫米默西,hermique
老将,vétéran
帽,casquette
好客,hospitalier
数字,numéro
确切地,exactement
存在,étant
文件夹,portefeuille
夜店,boîte de nuit
羁绊,limiter
雨衣,imperméable
主要的,principale
表达,Express
舒适,confortable
修订,révision
议会,parlementaire
防御,la défense
保留,retenue
当局,les autorités
爬行,rampant
无可所灵,infaillible
削减,sabrer
生产者,producteur
恢复,reprendre
没有人,personne
伪君子,hypocrite
原始,primitif
声望,prestige
面包店,boulangerie
嗡嗡声,bourdonner
讨价还价,négociation
持久,durable
囚犯,prisonnier
茬,chaume
超过,au-delà
精子,sperme
身份定地,non identifié
婴儿,bébé
造型,la modélisation
敲诈勒索,extorsion
任何时间,à toute heure
发票,facture d'achat
战斗,bataille
推动,élan
贡献,contribution
垒球,softball
贝克,boulanger
至关重要的,crucial
侦察,reconnaissance
惊愕,consternation
具体的,béton
广告,La publicité
粗暴,bourru
凹陷,creux
财政上,financièrement
流行,population
灌注,imprégner
扣上,Boucle
冰冷,glacé
预付款,prépayer
裂,fente
家,domicile
入侵者,intrus
可怕,horrible
润滑剂,lubrifiant
厌恶,dégoûter
薄雾,brume
基因,gène
棚,cabanon
乞讨,mendicité
三,Trois
优雅,la grâce
等级制度,hiérarchie
枪口,museau
黄色,jaune
合理的,raisonnablement
津贴,allocation
分心,distraction
醋,le vinaigre
有希望,prometteur
财产,domaine
杰出的,exceptionnel
帐户,Compte
戏服,costume
聊天,discuter
健康）状况,état
不足的,insuffisant
书,livre
拉直,redresser
七,Sept
温和的,doux
困扰,embarrasser
陵,mausolée
最后的,dernier
st,chauffeur
芹菜,céleri
操作员,opérateur
不习惯,inhabituel
钠,sodium
倾角,inclination
人性化,personnifier
括号,support
rel,goût
殖民,colonial
牛扒,bifteck
有资格的,éligible
亚麻布,lin
风度,comportement
虽然,malgré
火球,boule de feu
妈妈,maman
悲惨的,misérable
角度,angle
记忆,Mémoire
考验,supplice
鄙,dépit
诊所,clinique
小狗,chiot
支柱,pilier
导向器,réalisateur
w,se réveiller
变戏法,conjurer
平衡,équilibre
蠕动,frétiller
徘徊,errant
第五,cinquième
解职,discourcier
木材,bois
所有的,entier
晚上,soirée
未知,inconnu
惊人,prodigieux
成功地,avec succès
胖的,gros
惊人的,impressionnant
节日,Festival
母猪,truie
寄生虫,parasite
偷猎,pocher
犯规,faute
正方形,carré
印象,impressionner
逃跑,fuir
冲动,impulsion
线,fil
闪烁,clignotant
检查,inspection
节约,épargne
校长,chancelier
动词,verbe
耐用的,durable
出奇,étonnamment
诅咒,obstacle
圣经,Bible
有效的,valide
诗篇,psaume
兜帽,capuche
肋骨,nervure
流氓,hooligan
链,chaîne
石头,calcul
迷人,fascinant
图案,modèle
口服,oral
侵入,intrusif
矢车菊,bleuet
香蕉,banane
政治家,politicien
疙瘩,bouton
松果,pomme de pin
装饰,orner
走廊,couloir
睡眠,sommeil
注入,injecter
可乐,Cola
门户,passerelle
失眠,insomnie
成绩单,transcription
笨拙,maladroit
边缘,bord
睡前,heure du coucher
惊险,palpitant
胜利,la victoire
蛋,Oeuf
恩人,bienfaiteur
障碍,barrière
腺,glande
争夺,brouiller
嘎吱嘎吱,croquer
木匠,Charpentier
设置,mettre en place
警察,policier
精确,précision
medic,médical
承租人,locataire
橱柜,armoire
甚至,même
音乐会,concert
凶杀液,homicide
保证,assurance
发现,découverte
规定,régulation
讯问,interrogatoire
同意,convenir
小时,heure
泰坦尼克号,titanesque
蛆,asticot
职业,Occupation
邮政,postal
户外,en plein air
别致,élégant
戏剧性,spectaculaire
多汁,juteux
气体,gaz
无法,incapable
喷泉,Fontaine
盛宴,le banquet
行人,piéton
女性,femelle
代言,approbation
烦恼,ennuyer
费用,frais
f,fétide
飞机,avion
令人遗憾的是,regrettable
骆驼,chameau
合金,alliage
财富,fortune
大炮,canon
指标,indicateur
湖,lac
晕车,malade en voiture
定义,définition
这里,ici
贝特,bate
账单,facture
th,voler
骗取,escroquerie
垂直,perpendiculaire
半年,semestre
Quizmaster,animateur
耻辱,disgrâce
课程,cours
危险,danger
评价,évaluer
高度,la taille
冰川,glacier
上诉,faire appel
囤,magot
选项,option
下士,corporel
公园,se garer
无法弥补,irréparable
极好,fabuleux
惨败,fiasco
电的,électrique
纸板,papier carton
寓言,fable
梗阻,obstruction
自以为是,dogmatique
梨,poire
变得,devenant
摇摆,balançoire
破坏者,vandalisme
咖啡店,café
兼职,à temps partiel
依赖,dépendance
隐秘,cryptique
俏皮,espiègle
拐,enlever
放肆,présomptueux
添加,ajouter
直觉,instinct
ap,apathique
雕像,statue
劳工,la main d'oeuvre
拉,tirer
签名,Signature
金属,métal
明晰,clarté
啪啪声,crépiter
烘烤,pâtisserie
饥饿,faim
列表,liste
父母,parental
生活方式,mode de vie
仆人,serviteur
价值,valeur
圆圈,cercle
分心,distraction
评估,évaluation
青年,jeunesse
唱,a chanté
棕榈,paume
看护人,observateur
坚果,noisette
向,envers
阉割,émasculer
逃学,essentiel
温暖的,chaleureux
刺槐,criquet
每月,mensuel
哀号,lamenter
lov,aimant
一瞥,aperçu
十五,quinze
无限的,infini
傻笑,Pouffer de rire
偷窥,judas
愉快,délicieux
面试,entretien
泥土,inextricable
尽管,malgré
该死,mince
消防队员,pompier
不必要,inutile
惊人的,incroyable
杀手,tueur
合成,synthèse
ab,se conformer
分配,attribuer
得罪,mécontenter
当然,certainement
紧缩,austérité
小憩,sieste
旅游,visiter
谜语,cribler
离婚,divorcé
严格,restreindre
摩尔尔,morceau
诱发,induire
划分,diviser
居所,demeure
几何学,géométrie
苔藓,mousse
上行,à l'envers
尖锐,aigu
谦逊的,humble
紧身衣,collants
非法的,illégal
大使,ambassadeur
箍,cerceau
抢劫,butin
食谱,Recette
威慑,dissuasif
政治的,politique
海滩,plage
沉降,règlement
槲寄生,du gui
鞭打,caprice
纵火,incendie criminel
知识,savoir-faire
俯瞰,négliger
空洞的,creux
沙漠,désert
房东,propriétaire
缺口,entailler
蚀,éclipse
羽,plume
商业,Commerce
相信,confiance
外星人,extraterrestre
连接,de liaison
可行的,réalisable
用法,usage
相比,comparer
有限的,limité
不苟,crédule
谦逊,humilité
告诉,raconter
反购,antiterroriste
幼兽,lionceau
几乎,pratiquement
堤,digue
见证,témoignage
讽刺,sarcastique
柏油,le goudron
缝,point
诗意,poétique
魔女,vieille sorcière
序幕,prologue
眨眼,clin d'œil
承认,avouer
扳手,clé
种族主义的,raciste
生动,vif
教育,éduqué
注入,implant
透露,divulguer
停电,coupure électrique
合法地,légalement
痕迹,trace
秤,Balance
舒适,facile
面粉,farine
幸运,chanceux
漂亮,belle
疏忽,négligence
明天,demain
抑制,restreindre
沼泽,marais
昏迷,coma
导弹,missile
药店,pharmacie
委员会,commission
时代,ère
永久,en permanence
突出,dépasser
完美,à la perfection
偏执录,bigot
退款,remboursement
血管,navire
副业,ligne de touche
h,hourra
摄氏口,centigrade
难点,de mauvaise qualité
不幸的,malchanceux
杂货店,épicerie
点燃,allumer
优惠券,coupon
亚麻,lin
偏爱,préférence
文件,déposer
不当,inapproprié
唱诗班,chorale
饥饿,famine
社交,sociable
淹,noyer
惩罚,peine
诉讼,procès
成本,frais
卫生,hygiène
浪费,déchets
当地的,local
不久,prochainement
正确,correctement
坏处,désavantage
争吵,querelleur
草莓,fraise
多,plusieurs
部队,troupe
艾滋病,sida
掌声,applaudissements
吉普赛人,gitan
番茄,tomate
无限,illimité
选举,élection
沉默的,muet
昏暗,sombre
试管,tube à essai
邀请,inviter
暴行,outrage
帆船,voile
床垫,le matelas
禁止,interdit
长钉,pic
镦,bouleversant
困境,situation difficile
杂货商,épicier
错误,erroné
雄辩,hébergé
欢乐,gaieté
无可争议,incontestable
胀,se gonfler
漫游,errer
奇怪的,étrange
纪律,la discipline
生计,gagne-pain
极其,extrêmement
汗,transpiration
无脑,sans cervelle
结盟,alignement
简报,Compte rendu
小屋,chalet
干旱,la sécheresse
行李,bagages
交付,délivrer
垃圾,litière
发展,développer
片,pièce
有利可图,rentable
钦佩,admiré
dis,Ne pas aimer
发射,émettre
迷人,charmant
敌意,animosité
破坏性的,destructeur
鸽子,Pigeon
剧院,théâtre
城市,ville
受欢迎的,populaire
反叛,révolte
按钮,bouton
爪,griffe
理解,entente
回应,répondre
过程,traiter
烤,grillé
酷刑,torture
祖先,ancêtre
阴谋,conspiration
床,lit
无处,nulle part
爆炸,explosion
决定,décider
果壳,décortiquer
筹码,frites
县,comté
后悔,le regret
俗气,ringard
内陆,intérieur
尽管,tandis que
捕获,capturé
漂浮,à flot
天才,doué
灌溉,irriguer
令人憎恶,odieux
题,question
货运,cargaison
那些,celles
别名,alias
内阁,cabinet
水闸,écluse
借,emprunter
祝福,bénédiction
阐明,clarifier
产卵,frayer
小气,avare
悲剧,la tragédie
星期六,Sam
每一个,tous
男性,masculin
布防,rot
起重机,grue
烟囱,cheminée
可行的,viable
成就,réussite
古老,archaïque
拖,remorquer
北,Nord
per,pervertir
霜,givre
精神病患者,psychopathe
新的,Nouveau
壶,cruche
敲,frappe
潜在的,potentiellement
本质,essence
距离,rétracter
依靠,compter sur
讲道,sermon
迫使,contraindre
闲置的,inactif
积极地,positivement
中间,milieu
淋,tremper
鬃,poil
骗局,canular
人类,Humain
地毯,tapis
卑鄙,méprisable
照片,photo
腐败,putrescent
鹰,faucon
满足,gratification
不可否认,indéniable
穿梭,Navette
膨胀,gonfler
经济,économie
耳垂,lobe d'oreille
升,énorme
买方,acheteur
勋章,médaille
蒸发,évaporer
相互的,mutuel
伯克,berger
电视,télé
h,mon mari
在...之前,précéder
慢慢地,lentement
险恶,sinistre
喜悦,joie
猎人,chasseur
轴,arbre
衰退,déclin
无法忍受,intolérable
菲布斯,mensonge
材料,Matériel
喊叫,japper
公司,société
魅力,charme
发送,envoyé
sl,visqueux
在线的,en ligne
蕨类,fougère
所以,donc
吵架,querelle
简单的,Facile
背部,arrière
迷宫,Labyrinthe
泡沫,mousse
出价,offre
pun,calembour
支撑,rive
泳装,maillot de bain
回收,recyclage
误解,mal comprendre
未成年人,mineur
侵权,infraction
几乎,presque
物种,espèce
服务,servir
危险,péril
肉汁,sauce
人气,popularité
成员,membre
sl,neige fondu
法语,français
木板,planche
减去,soustraire
中风,accident vasculaire cérébral
并置,juxtaposer
公平,justice
am,amoral
民间,populaire
无论何处,partout où
期待,attente
黑醋栗,groseille
极,pôle
宇宙飞船,vaisseau spatial
向后,en arrière
日志,Journal
不正常,anormal
缓解,soulager
厌恶,aversion
雪莉酒,Sherry
愿望,aspiration
搜索,recherche
狗项圈,Collier de chien
公司,solidifier
