English,French,Chinese,Pingying,Spanish,German
cowboy,cow-boy,牛仔,niú zǐ,vaquero,cowboy
blackmail,chantage,勒索,lè suǒ,chantaje,bestechung
concept,concept,概念,gài niàn,concepto,konzept
barb,barbillon,倒钩,dǎo gōu,lengüeta,widerhaken
supportive,favorable,支持,zhī chí,apoyo,unterstützend
memorial,mémorial,纪念馆,jì niàn guǎn,monumento,denkmal
japanese,japonais,日本人,rì běn rén,japonés,japanisch
explosion,explosion,爆炸,bào zhà,explosión,explosion
trauma,traumatisme,创伤,chuàng shāng,trauma,trauma
russian,russe,俄语,é yǔ,ruso,russisch
furious,furieux,狂怒,kuáng nù,furioso,wütend
cheat,tricher,欺骗,qī piàn,hacer trampa,schummeln
approve,approuver,批准,pī zhǔn,aprobar,genehmigen
drawer,tiroir,抽屉,chōu tì,cajón,schublade
phony,faux,假,jiǎ,falso,falsch
joining,joindre,加入,jiā rù,unión,beitreten
interfere,interférer,干扰,gān rǎo,interferir,stören
governor,gouverneur,州长,zhōu cháng,gobernador,gouverneur
catching,contagieux,捕捉,bǔ zhuō,atrapando,fangen
bargain,bonne affaire,便宜货,biàn yí huo,negociar,schnäppchen
tragic,tragique,悲惨,bēi cǎn,trágico,tragisch
punish,punir,惩治,chéng zhì,castigar,bestrafen
hop,sauter,跳,tiào,brincar,hüpfen
rich,riche,富有的,fù yǒu de,rico,reich
insult,insulter,侮辱,wǔ rù,insulto,beleidigung
absolute,absolu,绝对,jué duì,absoluto,absolut
strictly,strictement,严格,yán gé,estrictamente,streng
british,britanique,英国,yīng guó,británico,britisch
worthy,digne,值得的,zhí dé de,valioso,würdig
serving,portion,服务,fú wù,servicio,portion
polite,poli,有礼貌的,yǒu lǐ mào de,cortés,höflich
internal,interne,内部的,nèi bù de,interno,intern
bitter,amer,苦的,kǔ de,amargo,bitter
adorable,adorable,可爱的,kě ài de,adorable,bezaubernd
alike,ressemblent,一样,yī yáng,similar,wie
fax,fax,传真,chuán zhēn,fax,fax
distracted,distraits,分心,fēn xīn,distraído,abgelenkt
escort,escorte,护送,hù sòng,escolta,begleiten
twin,double,双胞胎,shuāng bāo tāi,mellizo,zwilling
circus,cirque,马戏表演,mǎ xì biǎo yǎn,circo,zirkus
audition,audition,试镜,shì jìng,audición,vorsprechen
mask,masque,面具,miàn jù,máscara,maske
helpless,sans espoir,无助,wú zhù,indefenso,hilflos
dated,daté,日期,rì qí,con fecha de,datiert
robbery,vol,抢劫,qiǎng jié,robo,raub
beast,bête,兽,shòu,bestia,tier
tub,baignoire,浴缸,yù gāng,tina,wanne
talented,talentueux,才华横溢,cái huá héng yì,talentoso,talentiert
struck,frappé,被击中,bèi jí zhōng,golpeado,geschlagen
mistaken,trompé,错误,cuo wù,equivocado,falsch
italy,italie,意大利,yì dà lì,italia,italien
bizarre,bizarre,离奇的,chī qí de,extraño,bizarr
scaring,effrayant,吓人,xià rén,amedrentador,erschreckend
punk,punk,朋克,péng kè,punk,punk
focused,concentré,专注,zhuān zhù,enfocado,fokussiert
alert,alerte,警报,jǐng bào,alerta,alarm
activity,activité,活动,huó dòng,actividad,aktivität
foolish,insensé,愚蠢的,yú chǔn de,tonto,töricht
attend,assister,参加,cān jiā,asistir,besuchen
canadian,canadien,加拿大人,jiā ná dà rén,canadiense,kanadisch
aid,aide,援助,yuán zhù,ayuda,hilfe
wheelchair,fauteuil roulant,轮椅,lún yǐ,silla de ruedas,rollstuhl
protective,protecteur,保护的,bǎo hù de,protector,schützend
picnic,pique-nique,野餐,yě cān,picnic,picknick
construction,construction,建造,jiàn zào,construcción,konstruktion
wives,épouses,妻子,qī zǐ,esposas,ehefrauen
stink,puer,臭,chòu,hedor,stinken
recent,récent,最近的,zuì jìn de,reciente,jüngste
jewish,juif,犹太人,yóu tài rén,judío,jüdisch
filling,remplissage,填充,tián chōng,relleno,füllung
exit,sortir,出口,chū kǒu,salida,ausfahrt
cruise,croisière,巡航,xún háng,crucero,kreuzfahrt
cottage,chalet,小屋,xiǎo wū,cabaña,hütte
corporate,entreprise,公司的,gōng sī de,corporativo,unternehmen
upside,à l'envers,上行,shàng xíng,al revés,oben
german,allemand,德语,dé yǔ,alemán,deutsch
basis,base,基础,jī chǔ,base,basis
wounded,blessés,受伤,shòu shāng,herido,verwundet
conformity,conformité,一致性,yī zhì xìng,conformidad,konformität
wicked,méchant,邪恶,xié è,malvado,böse
merely,seulement,仅仅,jǐn jǐn,simplemente,nur
massage,massage,按摩,àn mó,masaje,massage
chop,hacher,劈,pī,picar,hacken
costs,frais,成本,chéng běn,costos,kosten
betray,trahir,背叛,bèi pàn,traicionar,verraten
waiter,garçon,服务员,fú wù yuán,mesero,kellner
scam,escroquer,骗局,piàn jú,estafa,betrug
fraud,fraude,欺诈罪,qī zhà zuì,fraude,der betrug
flu,grippe,流感,liú gǎn,gripe,grippe
pee,pipi,撒尿,sǎ niào,pipí,pinkeln
cliff,falaise,悬崖,xuán yá,acantilado,cliff
expression,expression,表达,biǎo dá,expresión,ausdruck
entrance,entrée,入口,rù kǒu,entrada,eingang
drawing,dessin,画画,huà huà,dibujo,zeichnung
bunny,lapin,兔子,tù zǐ,conejito,hase
bracelet,bracelet,手镯,shǒu zhuó,pulsera,armband
thirteen,treize,十三,shí sān,trece,dreizehn
scout,scout,侦察,zhēn chá,explorar,erkunden
fairly,équitablement,相当,xiāng dāng,equitativamente,ziemlich
arrive,arrivée,到达,dào dá,llegar,ankommen
shed,cabanon,棚,péng,cobertizo,baracke
nanny,nounou,保姆,bǎo mǔ,niñera,tagesmutter
naive,naïve,幼稚的,yòu zhì de,ingenuo,naiv
corn,maïs,玉米,yù mǐ,maíz,mais
authorities,les autorités,当局,dāng jú,autoridades,behörden
separated,séparé,分开,fēn kāi,apartado,getrennt
patch,pièce,修补,xiū bǔ,parche,patch
devastated,dévasté,被摧毁,bèi cuī huǐ,devastado,verwüstet
description,la description,描述,miáo shù,descripción,bezeichnung
subtle,subtil,微妙的,wēi miào de,sutil,subtil
garrison,garnison,驻军,zhù jūn,guarnición,garnison
metal,métal,金属,jīn shǔ,metal,metall
executive,exécutif,行政人员,xíng zhèng rén yuán,ejecutivo,exekutive
confirm,confirmer,确认,què rèn,confirmar,bestätigen sie
parade,parade,游行,yóu xíng,desfile,parade
bow,arc,弓,gōng,inclinarse,sich beugen
booth,stand,展位,zhǎn wèi,puesto,verkaufsstand
straighten,redresser,拉直,lā zhí,enderezar,begradigen
honoured,honoré,荣幸,róng xìng,honrado,geehrt
specifically,plus précisément,具体来说,jù tǐ lái shuō,específicamente,speziell
exam,examen,考试,kǎo shì,examen,prüfung
convenient,pratique,方便的,fāng biàn de,conveniente,praktisch
traveling,en voyageant,旅行,lǚ xíng,de viaje,reisen
laying,pose,铺设,pū shè,tendido,verlegung
crystal,cristal,水晶,shuǐ jīng,cristal,kristall
apply,appliquer,申请,shēn qǐng,solicitar,anwenden
air,air,空气,kōng qì,aire,luft
legend,légende,传奇,chuán qí,leyenda,legende
kindly,gentiment,亲切地,qīn qiē dì,amable,freundlich
grandson,petit fils,孙子,sūn zǐ,nieto,enkel
donor,donneur,捐赠者,juān zèng zhě,donante,spender
temper,tempérer,脾气,pí qì,templar,temperament
proven,éprouvé,证明,zhèng míng,probado,bewährt
monitor,surveiller,监视器,jiān shì qì,monitor,monitor
eternity,éternité,永恒,yǒng héng,eternidad,ewigkeit
denial,le déni,否认,fǒu rèn,negación,verweigerung
swell,se gonfler,胀,zhàng,hinchar,anschwellen
noon,le midi,中午,zhōng wǔ,mediodía,mittag
episode,épisode,插曲,chā qǔ,episodio,folge
thinking,pensée,思维,sī wéi,pensando,denken
spirits,esprits,烈酒,liè jiǔ,espíritu,spirituosen
potion,potion,药水,yào shuǐ,poción,trank
dial,cadran,拨号,bō hào,marcar,wählen
rehearsal,répétition,排演,pái yǎn,ensayo,probe
hostage,otage,人质,rén zhí,rehén,geisel
hammer,marteau,锤子,chuí zǐ,martillo,hammer
facet,facette,刻面,kè miàn,faceta,facette
discover,découvrir,发现,fā xiàn,descubrir,entdecken
constant,constant,持续的,chí xù de,constante,konstante
bench,banc,长椅,cháng yǐ,mesa de trabajo,bank
moron,imbécile,白痴,bái chī,imbécil,idiot
impress,impressionner,留下深刻印象,liú xià shēn kè yìn xiàng,impresionar,beeindrucken
gray,gris,灰色的,huī sè de,gris,grau
entitled,intitulé,有权,yǒu quán,intitulado,berechtigt
connect,relier,连接,lián jiē,conectar,verbinden
needle,aiguille,针,zhēn,aguja,nadel
lad,garçon,小伙子,xiǎo huǒ zǐ,muchacho,junge
intelligent,intelligente,聪明的,cōng míng de,inteligente,intelligent
disagree,être en désaccord,不同意,bù tóng yì,discrepar,verschiedener meinung sein
tiger,tigre,老虎,lǎo hǔ,tigre,tiger
groom,jeune marié,马夫,mǎ fū,novio,bräutigam
gesture,geste,手势,shǒu shì,gesto,geste
developed,développé,发达,fā dá,desarrollado,entwickelten
constantly,constamment,不断地,bù duàn dì,constantemente,ständig
sealed,scellé,密封,mì fēng,sellado,versiegelt
paradise,paradis,天堂,tiān táng,paraíso,paradies
legally,légalement,合法地,hé fǎ dì,legalmente,rechtlich
psychic,psychique,精神,jīng shén,psíquico,hellseher
dense,dense,稠密,chóu mì,denso,dicht
teenage,adolescent,青少年,qīng shǎo nián,adolescente,teenager
rabbit,lapin,兔子,tù zǐ,conejo,hase
puppy,chiot,小狗,xiǎo gǒu,cachorro,hündchen
bible,bible,圣经,shèng jīng,biblia,bibel
accidentally,accidentellement,偶然,ǒu rán,accidentalmente,versehentlich
superior,supérieur,优越的,yōu yuè de,superior,vorgesetzter
slack,mou,松弛,sōng chí,flojo,locker
homeless,sans abri,无家可归,wú jiā kě guī,vagabundo,obdachlos
hollow,creux,空洞的,kōng dòng de,hueco,hohl
desperately,désespérément,拼命地,pīn mìng dì,desesperadamente,verzweifelt
critical,critique,危急,wēi jí,crítico,kritisch
coward,lâche,懦夫,nuo fū,cobarde,feigling
personnel,personnel,人员,rén yuán,personal,personal
item,objet,物品,wù pǐn,artículo,artikel
due,dû,到期的,dào qí de,vencer,während
majesty,majesté,威严,wēi yán,majestad,majestät
jay,geai,周杰伦,zhōu jié lún,arrendajo,jay
instinct,instinct,直觉,zhí jué,instinto,instinkt
extreme,extrême,极端,jí duān,extremo,extrem
belief,croyance,信仰,xìn yǎng,creencia,glauben
motorcycle,moto,摩托车,mó tuō chē,motocicleta,motorrad
convincing,convaincant,令人信服,lìng rén xìn fú,convincente,überzeugend
appeal,faire appel,上诉,shàng sù,apelación,appellieren
greater,plus grand,更大,gèng dà,mayor que,größer
aids,sida,艾滋病,ài zī bìng,sida,aids
grip,saisir,紧握,jǐn wo,sujeción,griff
upsetting,bouleversant,镦,duì,molesto,ärgerlich
production,production,生产,shēng chǎn,producción,produktion
invisible,invisible,无形的,wú xíng de,invisible,unsichtbar
forgiveness,le pardon,饶恕,ráo shù,perdón,vergebung
complex,complexe,复杂的,fù zá de,complejo,komplex
compare,comparer,相比,xiāng bǐ,comparar,vergleichen
blank,vide,空白的,kōng bái de,blanco,leer
treasure,trésor,宝藏,bǎo cáng,tesoro,schatz
sacred,sacré,神圣,shén shèng,sagrado,heilig
inviting,attrayant,邀请,yāo qǐng,atractivo,einladend
inner,intérieur,内,nèi,interno,innere
compromise,faire des compromis,妥协,tuǒ xié,compromiso,kompromiss
cocktail,cocktail,鸡尾酒,jī wěi jiǔ,cóctel,cocktail
tramp,clochard,流浪汉,liú làng yì,vagabundo,tramp
signing,signature,签字,qiān zì,firma,unterzeichnung
messenger,messager,信使,xìn shǐ,mensajero,bote
landing,atterrissage,降落,jiàng luo,aterrizaje,landung
intimate,intime,亲密的,qīn mì de,íntimo,intim
dignity,dignité,尊严,zūn yán,dignidad,würde
dealt,traité,处理,chù lǐ,repartido,ausgeteilt
root,racine,根,gēn,raíz,wurzel
entertainment,divertissement,娱乐,yú yuè,entretenimiento,entertainment
dressing,pansement,敷料,fū liào,vendaje,dressing
blessing,bénédiction,祝福,zhù fú,bendición,segen
billion,milliard,十亿,shí yì,mil millones,milliarde
lightning,éclair,闪电,shǎn diàn,relámpago,blitz
leak,fuir,泄露,xiè lù,fuga,leck
fond,affectueux,喜欢,xǐ huān,aficionado,gern
corky,liégeux,软木塞,ruǎn mù sāi,taponado,korkig
alternative,alternative,选择,xuǎn zé,alternativa,alternative
seduce,séduire,勾引,gōu yǐn,seducir,verführen
modern,moderne,现代的,xiàn dài de,moderno,modern
liquor,alcool,酒,jiǔ,espíritu,alkohol
june,juin,六月,liù yuè,junio,juni
stuffed,farci,塞满的,sāi mǎn de,relleno,ausgestopft
emotionally,émotionnellement,情绪上,qíng xù shàng,emocionalmente,emotional
division,division,分配,fēn pèi,división,aufteilung
conditions,conditions,状况,zhuàng kuàng,condiciones,bedingungen
transplant,transplantation,移植,yí zhí,trasplante,transplantation
tips,des astuces,提示,tí shì,consejos,tipps
powder,poudre,粉末,fěn mo,polvo,pulver
oxygen,oxygène,氧,yǎng,oxígeno,sauerstoff
lunatic,fou,疯子,fēng zǐ,lunático,wahnsinnig
hid,caché,隐藏,yǐn cáng,escondido,versteckte
drill,percer,钻头,zuàn tóu,taladro,bohren
complain,plaindre,抱怨,bào yuàn,quejar,sich beschweren
announcement,annonce,公告,gōng gào,anuncio,bekanntmachung
slap,gifler,拍击,pāi jí,bofetada,schlagen
pumpkin,citrouille,南瓜,nán guā,calabaza,kürbis
oath,serment,誓言,shì yán,juramento,eid
mutual,mutuel,相互的,xiāng hù de,mutuo,gegenseitig
hockey,le hockey,曲棍球,qǔ gùn qiú,hockey,eishockey
graduate,diplômé,毕业,bì yè,graduado,absolvent
yacht,yacht,游艇,yóu tǐng,yate,yacht
spa,spa,温泉,wēn quán,spa,spa
horn,corne,喇叭,lǎ bā,bocina,horn
fried,frit,油炸,yóu zhà,frito,gebraten
extraordinary,extraordinaire,非凡的,fēi fán de,extraordinario,außerordentlich
bait,appât,饵,ěr,carnada,köder
appearance,apparence,外貌,wài mào,apariencia,aussehen
sworn,juré,发誓,fā shì,jurado,geschworen
safely,sans encombre,安全地,ān quán dì,sin peligro,sicher
reunion,réunion,团圆,tuán yuán,reunión,wiedervereinigung
burst,éclater,爆裂,bào liè,estallar,platzen
experiment,expérience,实验,shí yàn,experimentar,experiment
explicit,explicite,明确的,míng què de,explícito,explizit
dive,se plonger,潜水,qián shuǐ,bucear,tauchen
commission,commission,委员会,wěi yuán huì,comisión,kommission
chaos,le chaos,混乱,hǔn luàn,caos,chaos
aboard,une planche,船上,chuán shàng,a bordo,an bord
lesbian,lesbienne,女同性恋,nǚ tóng xìng liàn,lesbianas,lesbisch
expose,exposer,暴露,bào lù,exponer,aufdecken
environment,environnement,环境,huán jìng,medio ambiente,umgebung
spider,araignée,蜘蛛,zhī zhū,araña,spinne
smaller,plus petite,较小,jiào xiǎo,menor,kleiner
booze,biberonner,豪饮,háo yǐn,bebida alcohólica,schnaps
tattoo,tatouage,纹身,wén shēn,tatuaje,tätowierung
parole,parole,言语,yán yǔ,libertad condicional,parole
ditch,fossé,沟渠,gōu qú,zanja,graben
bulldog,bouledogue,斗牛犬,dǒu niú quǎn,buldog,bulldogge
bra,soutien-gorge,胸罩,xiōng zhào,sostén,bh
spanish,espagnol,西班牙语,xī bān yá yǔ,español,spanisch
glow,lueur,辉光,huī guāng,brillo,glühen
thirsty,assoiffé,渴,kě,sediento,durstig
skull,le crâne,颅骨,lú gǔ,cráneo,schädel
scotch,scotch,苏格兰人,sū gé lán rén,escocés,scotch
dining,à manger,用餐,yòng cān,comida,essen
bend,pliez,弯曲,wān qǔ,curva,biege
unexpected,inattendu,意外,yì wài,inesperado,unerwartet
sob,sanglot,哭泣,kū qì,sollozo,schluchzen
pancake,crêpe,饼子,bǐng zǐ,tortita,pfannkuchen
harsh,rude,残酷的,cán kù de,duro,harsch
existence,existence,存在,cún zài,existencia,existenz
troubles,troubles,烦恼,fán nǎo,nubes,probleme
favourite,favori,最喜欢的,zuì xǐ huān de,favorito,favorit
driven,conduit,被驱动,bèi qū dòng,impulsado,gefahren
chin,menton,下巴,xià bā,barbilla,kinn
rage,rage,愤怒,fèn nù,rabia,wut
bubble,bulle,气泡,qì pào,burbuja,blase
undercover,à l'abri,秘密,mì mì,clandestino,verdeckt
spoiled,gâté,被宠坏了,bèi chǒng pī le,consentido,verwöhnt
rug,tapis,小地毯,xiǎo dì tǎn,alfombra,teppich
deputy,adjoint,副,fù,diputado,stellvertreter
conspiracy,conspiration,阴谋,yīn móu,conspiración,verschwörung
clothing,vêtements,衣服,yī fú,ropa,kleidung
thoughtful,réfléchi,周到,zhōu dào,considerado,nachdenklich
drank,buvait,喝了,hē le,bebió,getrunken
contrary,contraire,相反,xiāng fǎn,contrario,gegenteil
beloved,bien-aimé,心爱,xīn ài,amado,geliebte
allergic,allergique,过敏,guo mǐn,alérgico,allergisch
forgiven,pardonné,原谅,yuán liàng,perdonado,vergeben
earl,comte,伯爵,bó jué,conde,graf
bent,courbé,弯曲,wān qǔ,doblado,gebogen
approval,approbation,赞同,zàn tóng,aprobación,die genehmigung
jungle,jungle,丛林,cóng lín,selva,urwald
dancer,danseur,舞蹈家,wǔ dào jiā,bailarín,tänzer
cotton,coton,棉布,mián bù,algodón,baumwolle
cooked,cuit,煮熟的,zhǔ shóu de,cocido,gekocht
foul,faute,犯规,fàn guī,falta,foul
dull,terne,乏味的,fá wèi de,tedioso,stumpf
peanut,cacahuète,花生,huā shēng,maní,erdnuss
horror,horreur,恐怖,kǒng bù,horror,grusel
stunt,cascade,特技,tè jì,truco,kunststück
portrait,portrait,肖像,xiào xiàng,retrato,porträt
july,juillet,七月,qī yuè,julio,juli
jealousy,jalousie,妒忌,dù jì,celos,eifersucht
hopeless,désespéré,绝望,jué wàng,sin esperanza,hoffnungslos
volunteer,bénévole,志愿者,zhì yuàn zhě,voluntario,freiwillige
sword,épée,剑,jiàn,espada,schwert
scenario,scénario,设想,shè xiǎng,guión,szenario
necklace,collier,项链,xiàng liàn,collar,halskette
chapel,chapelle,教堂,jiào táng,capilla,kapelle
restrain,restreindre,抑制,yì zhì,contener,zurückhalten
homicide,homicide,杀人,shā rén,homicidio,tötung
helicopter,hélicoptère,直升机,zhí shēng jī,helicóptero,hubschrauber
firing,cuisson,射击,shè jí,disparo,brennen
safeguard,sauvegarde,保障,bǎo zhàng,salvaguardia,sichern
diamond,diamant,钻石,zuàn shí,diamante,diamant
devoted,dévoué,专心致志,zhuān xīn zhì zhì,devoto,hingebungsvoll
auction,enchères,拍卖,pāi mài,subasta,versteigerung
videotape,cassette vidéo,录像带,lù xiàng dài,filmar con una videocámara,videoband
tore,déchiré,撕裂,sī liè,desgarrado,zerrissen
pops,pop,流行音乐,liú xíng yīn yuè,estallidos,knallt
appetite,appétit,食欲,shí yù,apetito,appetit
patrol,patrouille,巡逻,xún luó,patrulla,patrouillieren
ironic,ironique,讽刺的,fēng cì de,irónico,ironisch
excitement,excitation,激动,jī dòng,emoción,aufregung
anyhow,de toute façon,无论如何,wú lùn rú hé,de todos modos,jedenfalls
core,coeur,核,hé,centro,ader
bowling,bowling,保龄球,bǎo líng qiú,bolos,bowling
belly,ventre,腹部,fù bù,barriga,bauch
shark,requin,鲨鱼,shā yú,tiburón,hai
miller,meunier,磨坊主,mó fāng zhǔ,molinero,müller
dealer,marchand,经销商,jīng xiāo shāng,distribuidor,händler
cooperate,coopérer,合作,hé zuo,cooperar,kooperieren
bachelor,bachelier,学士,xué shì,soltero,junggeselle
accomplish,accomplir,完成,wán chéng,realizar,erreichen
reservation,réservation,预订,yù dìng,reserva,reservierung
coke,du coca,可乐,kě yuè,coca,koks
ashes,cendres,骨灰,gǔ huī,despojos mortales,asche
supposedly,soi-disant,据说,jù shuō,según cabe suponer,angeblich
loft,grenier,阁楼,gé lóu,desván,dachgeschoss
integrity,intégrité,正直,zhèng zhí,integridad,integrität
qualified,qualifié,合格的,hé gé de,calificado,qualifiziert
inappropriate,inapproprié,不当,bù dāng,inapropiado,unangemessen
immediate,immédiat,即时,jí shí,inmediato,sofort
ginger,gingembre,生姜,shēng jiāng,jengibre,ingwer
sunset,le coucher du soleil,日落,rì luo,puesta de sol,sonnenuntergang
nation,nation,国家,guó jiā,nación,nation
lipstick,rouge à lèvres,口红,kǒu hóng,lápiz labial,lippenstift
lawn,pelouse,草地,cǎo dì,césped,rasen
compassion,la compassion,同情,tóng qíng,compasión,mitgefühl
cafeteria,cafétéria,自助餐厅,zì zhù cān tīng,cafetería,cafeteria
scarf,foulard,围巾,wéi jīn,bufanda,schal
obsession,obsession,痴迷,chī mí,obsesión,besessenheit
management,la gestion,管理,guǎn lǐ,administración,verwaltung
lighten,alléger,减轻,jiǎn qīng,aligerar,erleichtern
granddaughter,petite fille,孙女,sūn nǚ,nieta,enkelin
explode,exploser,爆炸,bào zhà,explotar,explodieren
balcony,balcon,阳台,yáng tái,balcón,balkon
conscious,conscient,有意识的,yǒu yì shì de,consciente,bewusst
ally,allié,盟友,méng yǒu,aliado,verbündete
ace,as,高手,gāo shǒu,as,as
absurd,absurde,荒诞,huāng dàn,absurdo,absurd
vicious,vicieux,恶毒,è dú,vicioso,bösartig
rap,rap,说唱,shuō chàng,rap,rap
forbid,interdire,禁止,jìn zhǐ,prohibir,verbieten
defendant,défendeur,被告,bèi gào,acusado,beklagte
bare,nu,裸,luǒ,desnudo,nackt
salesman,vendeur,推销员,tuī xiāo yuán,vendedor,verkäufer
leap,saut,飞跃,fēi yuè,salto,sprung
ken,ken,肯,kěn,conocido,ken
insanity,folie,疯狂,fēng kuáng,locura,wahnsinn
genetic,génétique,遗传的,yí chuán de,genético,genetisch
fighter,combattant,战斗机,zhàn dǒu jī,combatiente,kämpfer
burden,charge,负担,fù dàn,carga,last
swallow,avaler,吞,tūn,tragar,schlucken
kidnap,kidnapper,绑架,bǎng jià,secuestrar,entführen
gown,robe,袍,páo,vestido,kleid
entering,entrer,进入,jìn rù,entrando,eintreten
setup,mettre en place,设置,shè zhì,configuración,erstellen
serial,en série,连续剧,lián xù jù,de serie,seriell
sandy,sablonneux,沙,shā,arenoso,sandig
dramatic,spectaculaire,戏剧性,xì jù xìng,dramático,dramatisch
carver,sculpteur,雕刻师,diāo kè shī,tallista,schnitzer
blade,lame,刀刃,dāo rèn,espada,klinge
seventh,septième,第七,dì qī,séptimo,siebte
rape,râpé,强奸,qiáng jiān,violación,vergewaltigen
pony,poney,小马,xiǎo mǎ,poni,pony
semester,semestre,学期,xué qí,semestre,semester
delicate,délicat,精美的,jīng měi de,delicado,empfindlich
oldest,le plus vieux,最老的,zuì lǎo de,más antiguo,älteste
live,habitent,居住,jū zhù,en vivo,live
eager,désireux,渴望的,kě wàng de,entusiasta,erpicht
doomed,condamné,注定的,zhù dìng de,condenado,zum scheitern verurteilt
coffin,cercueil,棺材,guān cái,ataúd,sarg
bureau,bureau,局,jú,oficina,büro
adoption,adoption,采用,cǎi yòng,adopción,annahme
stab,poignarder,刺,cì,puñalada,stechen
sickness,maladie,疾病,jí bìng,enfermedad,krankheit
loop,boucle,环形,huán xíng,círculo,schleife
floating,flottant,漂浮的,piāo fú de,flotante,schwebend
combination,combinaison,组合,zǔ hé,combinación,kombination
chamber,chambre,房间,fáng jiān,cámara,kammer
casino,casino,赌场,dǔ cháng,casino,kasino
worn,porté,磨损,mó sǔn,desgastado,getragen
vault,sauter,金库,jīn kù,bóveda,gewölbe
payback,remboursement,回报,huí bào,venganza,rückzahlung
healing,guérison,康复,kāng fù,curación,heilung
cascade,cascade,级联,jí lián,cascada,kaskade
wrestling,lutte,摔角,shuāi jiǎo,lucha,ringen
sixth,sixième,第六,dì liù,sexto,sechste
passionate,passionné,热情的,rè qíng de,apasionado,leidenschaftlich
lawsuit,procès,诉讼,sù sòng,demanda judicial,klage
distrustul,méfiance,不信任,bù xìn rèn,desconfiado,misstrauisch
crossing,traversée,穿越,chuān yuè,cruce,kreuzung
cozy,confortable,舒适,shū guā,acogedor,lauschig
associate,associer,联系,lián xì,asociar,assoziieren
tire,pneu,胎,tāi,neumático,reifen
mill,moulin,磨,mó,molino,mühle
journal,journal,杂志,zá zhì,diario,tagebuch
risky,risqué,有风险,yǒu fēng xiǎn,arriesgado,riskant
nest,nid,巢,cháo,nido,nest
honourable,honorable,光荣的,guāng róng de,honorable,ehrenhaft
favour,favoriser,青睐,qīng lài,favor,gefallen
culture,culture,文化,wén huà,cultura,kultur
closest,le plus proche,最近的,zuì jìn de,más cercano,am nächsten
breakdown,panne,分解,fēn jiě,desglose,abbauen
conflict,conflit,冲突,chōng tú,conflicto,konflikt
bald,chauve,秃,tū,calvo,kahl
actress,actrice,演员,yǎn yuán,actriz,darstellerin
wisdom,sagesse,智慧,zhì huì,sabiduría,weisheit
steam,fumer,蒸汽,zhēng qì,vapor,dampf
scar,cicatrice,瘢痕,bān hén,cicatriz,narbe
worthless,sans valeur,一文不值,yī wén bù zhí,sin valor,wertlos
suck,sucer,吮吸,shǔn xī,chupar,saugen
injured,blessée,受伤,shòu shāng,herido,verletzt
graduation,l'obtention du diplôme,毕业,bì yè,graduación,abschluss
disturbing,inquiétant,令人不安的,lìng rén bù ān de,perturbador,störend
disturb,déranger,打扰,dǎ rǎo,molestar,stören
distract,distraire,转移,zhuǎn yí,distraer,ablenken
conclusion,conclusion,结论,jié lùn,conclusión,fazit
baker,boulanger,面包师,miàn bāo shī,panadero,bäcker
muffin,muffin,松饼,sōng bǐng,mollete,muffins
mid,milieu,中,zhōng,medio,mitte
measure,mesure,措施,cuo shī,la medida,messen
crawling,rampant,爬行,pá xíng,arrastrándose,kriechen
congress,congrès,国会,guó huì,congreso,kongress
briefcase,mallette,公文包,gōng wén bāo,maletín,aktentasche
whistle,sifflet,哨,shào,silbar,pfeife
roast,rôti,烤,kǎo,asar,braten
greek,grec,希腊语,xī là yǔ,griego,griechisch
flirting,flirt,调情,diào qíng,flirteador,flirten
damaged,endommagé,损坏的,sǔn pī de,dañado,beschädigt
topic,sujet,话题,huà tí,tema,thema
riot,émeute,暴动,bào dòng,disturbio,aufstand
minimum,le minimum,最低限度,zuì dī xiàn dù,mínimo,minimum
hostile,hostile,敌对的,dí duì de,hostil,feindlich
embarrass,embarrasser,尴尬,gān gà,avergonzar,in verlegenheit bringen
casual,décontractée,随意的,suí yì de,casual,beiläufig
beacon,balise,信标,xìn biāo,faro,leuchtfeuer
amusing,amusant,有趣,yǒu qù,divertido,lustig
altar,autel,坛,tán,altar,altar
skinny,mince,瘦骨嶙峋的,shòu gǔ lín xún de,muy delgado,schlank
goods,des biens,商品,shāng pǐn,bienes,waren
porch,porche,门廊,mén láng,porche,vorbau
ghost,fantôme,鬼,guǐ,fantasma,geist
drops,gouttes,滴,dī,gotas,tropfen
dizzy,étourdi,晕眩的,yūn xuàn de,mareado,schwindlig
breastfeeding,allaitement maternel,哺乳,bǔ rǔ,amamantamiento,stillen
beaten,battu,殴打,ōu dǎ,vencido,geschlagen
rehabilitation,réhabilitation,复原,fù yuán,rehabilitación,rehabilitation
photographer,photographe,摄影师,shè yǐng shī,fotógrafo,fotograf
leery,méfiant,小心翼翼,xiǎo xīn yì yì,sospechoso,misstrauisch
fortunately,heureusement,幸运的是,xìng yùn de shì,afortunadamente,glücklicherweise
expectation,attente,期待,qí dài,expectativa,erwartung
draft,brouillon,草案,cǎo àn,borrador,luftzug
active,actif,积极的,jī jí de,activo,aktiv
ski,ski,滑雪,huá xuě,esquí,ski
musician,musicien,音乐家,yīn yuè jiā,músico,musiker
executed,réalisé,被执行,bèi zhí xíng,ejecutado,hingerichtet
examine,examiner,检查,jiǎn chá,examinar,prüfen
document,document,文档,wén dǎng,documento,dokumentieren
